márka;típus;évjárat;motor teljesítmény;üzemanyagfogyasztás;km-óra állás
Mercedes;Actros;2019;400;25,5;121327
Scania;R500;2020;450;28,3;130495
Volvo;FH16;2018;500;30,1;110028
MAN;TGX;2017;440;27,8;125773
DAF;XF;2019;410;26,2;115444
Iveco;Stralis;2021;430;28,9;100853
Renault;T;2016;380;24,6;135029
MAN;TGX;2020;460;26,8;122731
Volvo;FH12;2017;420;27,3;118378
Scania;S730;2019;770;32,7;95764
Mercedes;Actros;2021;450;26,8;105942
Iveco;Stralis;2019;480;29,5;98857
DAF;XF;2018;430;27,1;110312
Renault;T;2017;400;25,3;125607
Scania;R580;2020;580;31,2;90861
Volvo;FH16;2016;750;33,8;85692
Mercedes;Actros;2018;420;26,7;108457
MAN;TGX;2019;480;28,2;102631
DAF;XF;2021;530;29,9;94752
Iveco;Stralis;2017;450;27,6;112548
Renault;T;2018;430;26,8;115497
Scania;S650;2020;650;30,5;87326
Volvo;FH12;2019;460;28,9;92357
Mercedes;Actros;2017;400;25,2;127004
MAN;TGX;2018;470;27,4;120896
DAF;XF;2020;510;28,6;95787
Iveco;Stralis;2016;420;25,8;132275
Renault;T;2019;450;26,7;118052
Scania;R480;2018;480;27,3;123134
Volvo;FH16;2021;550;31,6;89651
Mercedes;Actros;2016;380;24,8;130207
MAN;TGX;2018;460;27,1;117372
DAF;XF;2019;480;27,8;112006
Iveco;Stralis;2020;510;29,3;96482
Renault;T;2017;400;25,5;125698
Scania;S730;2018;770;33,2;91277
Volvo;FH12;2019;460;28,7;93249
Mercedes;Actros;2020;430;26,4;98325
MAN;TGX;2016;400;25,7;128977
DAF;XF;2017;430;26,9;122547
Iveco;Stralis;2018;450;27,6;117023
Renault;T;2019;480;26,8;115625
Scania;R580;2017;580;30,1;89841
Volvo;FH16;2020;750;32,5;87534
Volvo;FH16;2020;750;32,5;87000
